Itr       Abs. Error 
1         0.5
2         0.25
3         0.125
4         0.0625
5         0.03125
6         0.015625
7         0.0078125
8         0.00390625
9         0.001953125
10         0.0009765625
11         0.00048828125
12         0.000244140625
13         0.0001220703125
14         6.103515625e-05
15         3.0517578125e-05
16         1.52587890625e-05
17         7.62939453125e-06
18         3.814697265625e-06
19         1.9073486328125e-06
20         9.5367431640625e-07
