Itr       Abs. Error 
1         0.75
2         0.375
3         0.1875
4         0.09375
5         0.046875
6         0.0234375
7         0.01171875
8         0.005859375
9         0.0029296875
10         0.00146484375
11         0.000732421875
12         0.0003662109375
13         0.00018310546875
14         9.1552734375e-05
15         4.57763671875e-05
16         2.288818359375e-05
17         1.1444091796875e-05
18         5.7220458984375e-06
19         2.86102294921875e-06
20         1.430511474609375e-06
21         7.152557373046875e-07
